EpiOrStroma	Mean.Layer.1	Mean.Layer.2	Mean.Layer.3	Standard.deviation.Layer.1	Standard.deviation.Layer.2	Standard.deviation.Layer.3	Skewness.Layer.1	Skewness.Layer.2	Skewness.Layer.3	Ratio.Layer.1	Ratio.Layer.2	Ratio.Layer.3	Min..pixel.value.Layer.1	Min..pixel.value.Layer.2	Min..pixel.value.Layer.3	Max..pixel.value.Layer.1	Max..pixel.value.Layer.2	Max..pixel.value.Layer.3	Mean.of.inner.border.Layer.1	Mean.of.inner.border.Layer.2	Mean.of.inner.border.Layer.3	Mean.of.outer.border.Layer.1	Mean.of.outer.border.Layer.2	Mean.of.outer.border.Layer.3	Border.Contrast.Layer.1	Border.Contrast.Layer.2	Border.Contrast.Layer.3	Contrast.to.neighbor.pixels.Layer.1..3.	Contrast.to.neighbor.pixels.Layer.2..3.	Contrast.to.neighbor.pixels.Layer.3..3.	Edge.Contrast.of.neighbor.pixels..Prototype..Layer.1..3.	Edge.Contrast.of.neighbor.pixels..Prototype..Layer.2..3.	Edge.Contrast.of.neighbor.pixels..Prototype..Layer.3..3.	StdDev..to.neighbor.pixels.Layer.1..3.	StdDev..to.neighbor.pixels.Layer.2..3.	StdDev..to.neighbor.pixels.Layer.3..3.	Circular.Mean.Layer.1..R1..User..3..R2..Same...R1...border.	Circular.Mean.Layer.2..R1..User..3..R2..Same...R1...border.	Circular.Mean.Layer.3..R1..User..3..R2..Same...R1...border.	Circular.StdDev.Layer.1..R1..User..3..R2..Same...R1...border.	Circular.StdDev.Layer.2..R1..User..3..R2..Same...R1...border.	Circular.StdDev.Layer.3..R1..User..3..R2..Same...R1...border.	Circular.StdDev.Mean.Layer.1..R1..User..3..R2..Same...R1...border.	Circular.StdDev.Mean.Layer.2..R1..User..3..R2..Same...R1...border.	Circular.StdDev.Mean.Layer.3..R1..User..3..R2..Same...R1...border.	Mean.Diff..to.neighbors.Layer.1..0.	Mean.Diff..to.neighbors.Layer.2..0.	Mean.Diff..to.neighbors.Layer.3..0.	Mean.Diff..to.neighbors..abs..Layer.1..0.	Mean.Diff..to.neighbors..abs..Layer.2..0.	Mean.Diff..to.neighbors..abs..Layer.3..0.	Rel..border.to.brighter.objects.Layer.1	Rel..border.to.brighter.objects.Layer.2	Rel..border.to.brighter.objects.Layer.3	Mean.diff..to.scene.Layer.1	Mean.diff..to.scene.Layer.2	Mean.diff..to.scene.Layer.3	Ratio.to.scene.Layer.1	Ratio.to.scene.Layer.2	Ratio.to.scene.Layer.3	HSI.Transformation.Hue.R.Layer.1.G.Layer.2.B.Layer.3.	Area..Pxl.	Border.length..Pxl.	Length..mu_m.	Length.Width	Number.of.pixels	Rel..Border.to.Image.Border	Volume..Pxl.	Width..mu_m.	Asymmetry	Border.index	Compactness	Density	Elliptic.Fit	Radius.of.largest.enclosed.ellipse	Radius.of.smallest.enclosing.ellipse	Rectangular.Fit	Roundness	Shape.index	Area..excluding.inner.polygons...Pxl.	Area..including.inner.polygons...Pxl.	Average.length.of.edges..polygon...Pxl.	Compactness..polygon.	Length.of.longest.edge..polygon...Pxl.	Number.of.edges..polygon.	Number.of.inner.objects..polygon.	Perimeter..polygon...Pxl.	Stddev.of.length.of.edges..polygon...Pxl.	Mean.of.sub.objects..stddev.Layer.1..1.	Area.of.sub.objects..mean..1...Pxl.	Area.of.sub.objects..stddev..1...Pxl.	Density.of.sub.objects..mean..1.	Density.of.sub.objects..stddev..1.	Asymmetry.of.sub.objects..mean..1.	Asymmetry.of.sub.objects..stddev..1.	Direction.of.sub.objects..mean..1.	Direction.of.sub.objects..stddev..1.	GLCM.Homogeneity..quick.8.11..Layer.1..all.dir..	GLCM.Contrast..quick.8.11..Layer.1..all.dir..	GLCM.Dissimilarity..quick.8.11..Layer.1..all.dir..	GLCM.Entropy..quick.8.11..Layer.1..all.dir..	GLCM.Ang..2nd.moment..quick.8.11..Layer.1..all.dir..	GLCM.Mean..quick.8.11..Layer.1..all.dir..	GLCM.StdDev..quick.8.11..Layer.1..all.dir..	GLCM.Correlation..quick.8.11..Layer.1..all.dir..	Number.of.sub.objects.Nucleus..1.	Number.of.sub.objects.Dark..1.	Area.of.sub.objects.Nucleus..1...Pxl.	Area.of.sub.objects.Dark..1...Pxl.	Rel..area.of.sub.objects.Nucleus..1.	Rel..area.of.sub.objects.Dark..1.	Rel..area.of.sub.objects.unclassified..1.
1	125.85849802	30.964031621	164.49881423	43.494697066	31.765953179	32.182953387	0.14094518946	0.98970623853	0.58498772679	0.39169043832	0.096364689775	0.5119448719	16	0	91	255	157	255	156.8742515	53.580838323	174.31137725	194.19005848	92.096491228	207.57017544	-33.654347826	-34.952173913	-30.645652174	-689.40369964	-2025.4683613	-259.23052531	99.890307534	80.91206079	59.001760038	27.11406787	50.34756305	27.403182208	114.875	40.6875	163.8125	47.452443299	38.763253782	42.332343943	0.41307894057	0.95270669817	0.25841949756	-84.241539617	-52.621240436	-35.689923934	84.241539617	52.621240436	35.689923934	1	1	1	-84.209672041	-86.743256352	-45.065330767	0.59913169132	0.263059596	0.78495686479	0.78510580358	2530	460	128983593.61	3.7273424609	2530	0	2530	34604706.964	0.8877794013	1.84	1.7642053202	1.5104138956	0.6442687747	0.37558017597	1.5637395378	0.79997598738	1.1881593618	2.2863229709	2521.5	2521.5	6.7965325158	0.22675446681	21.09502311	55	0	373.80928837	3.9753709748	23.902407849	421.66666667	211.33675076	1.662266348	0.26726590263	0.70448962135	0.18489303152	80.821430677	33.833642755	0.049296201836	752.28430475	20.379478818	9.1343578851	0.00013368090696	127.13538692	44.728843838	0.90110591611	1	5	136	2394	0.053754940711	0.94624505929	0
1	96.203483769	25.650567432	142.11691739	53.263909968	40.001324045	45.085541422	0.50249076784	2.1876057816	0.19472819784	0.36444721282	0.097171926022	0.53838086116	0	0	22	255	243	255	131.42363636	54.554545455	158.85818182	186.36956522	110.47282609	207.16666667	-49.203856749	-49.486225895	-44.425619835	-1196.2766874	-3159.8132239	-451.14433608	131.04331131	110.34291042	90.762887881	36.559532726	76.111455206	37.903410608	75.125	7.1875	136.8125	18.02385572	9.7738090707	21.459900833	0.23991821257	1.3598343055	0.15685628749	-113.88051404	-102.00367028	-71.448007886	113.88051404	102.00367028	71.448007886	1	1	1	-113.8646863	-92.056720541	-67.447227604	0.45796316376	0.21791826041	0.67815473585	0.76762990106	3789	726	160074609.55	2.8663320483	3789	0	3789	55846498.89	0.85758249915	2.5563380282	2.3593577474	1.4482491875	0.42306677224	0.21728804902	1.9208768225	0.67115433836	1.7035887734	2.9485895819	3789	3789	6.3057642055	0.1272631704	20.099751242	97	0	611.65912794	3.5517333871	42.67608331	189.45	77.977865449	1.6758554524	0.28591987278	0.53753690871	0.2203743356	76.299904445	36.451200694	0.050456751487	1143.8760559	23.577752241	9.4002861001	0.0001216693379	98.430668114	55.054185217	0.90072279211	8	12	1947	1842	0.51385589865	0.48614410135	0
1	119.00438957	34.141563786	162.75720165	53.132610788	50.290571193	38.863597149	0.55259049932	2.2024369442	0.43307537333	0.37671162091	0.1080760456	0.51521233348	0	0	37	255	253	255	132.80327869	38.808743169	160.80874317	174.97289973	79.902439024	197.72628726	-38.621568627	-37.503921569	-34.756862745	-731.6174208	-2026.48477	-269.47204618	106.02719462	88.307500599	65.459824533	33.012622842	58.196265372	31.881373018	154.625	85.3125	179.0625	35.741913421	38.577387726	29.500993098	0.23115222908	0.45218916016	0.16475249199	-101.5494446	-97.962384441	-56.733793421	101.5494446	97.962384441	56.733793421	1	1	1	-91.06378049	-83.565724187	-46.80694335	0.56650367135	0.29005479927	0.7766462228	0.7766362204	3645	510	124220742.57	2.3021868312	3645	0	3645	53957715.718	0.69248020798	1.9318181818	1.838866259	1.953312847	0.72345679012	0.53585745008	1.3081610719	0.80770728944	0.77230362186	2.1118419787	3653.5	3653.5	5.8033475001	0.26295656689	17.088007491	72	0	417.84102001	3.2612176096	42.038967497	280.38461538	226.82644618	1.5753259403	0.39100842486	0.63524487976	0.27214503982	56.6814255	26.632900133	0.058139582255	675.64703735	18.620012645	9.2144806393	0.00017434099135	119.336739	52.845501467	0.93756657787	3	9	1139	2237	0.31248285322	0.61371742112	0.073799725652
1	127.33523592	32.264459665	170.29185693	45.569112451	29.347425531	32.034223196	-0.20107071723	0.60049963395	0.048004125046	0.38599119908	0.097803230848	0.51620557007	3	0	85	235	139	255	154.73913043	48.549407115	179.41897233	184.27165354	78.007874016	204.95275591	-27.746875	-27.896875	-25.275	-579.13043795	-1974.9575909	-231.40876517	98.900150227	82.27809125	57.994922768	28.281532799	40.700965958	23.340021874	98.8125	35	181	48.078345892	26.554189877	48.781400144	0.48656137526	0.75869113933	0.26951049803	-80.142119349	-93.669800834	-43.744881267	80.142119349	93.669800834	43.744881267	1	1	1	-82.732934144	-85.442828308	-39.272288071	0.60616149454	0.27410757839	0.81260015605	0.78146365401	2628	320	84330623.668	1.6900020353	2628	0	2628	49899717.224	0.60497296272	1.4953271028	1.6012459187	2.0343731328	0.68645357686	0.50494737088	1.2661388878	0.84247324465	0.76119151688	1.5605486293	2621	2621	7.3872584353	0.44085324612	25.019992006	37	0	273.32856211	4.8156321668	32.642480201	375.42857143	229.61698366	1.7839540603	0.2838838505	0.52633982093	0.20902332054	179.01208173	32.967682763	0.052706157447	550.10944486	17.609732602	9.0381602712	0.00015032361808	127.95287475	46.134399795	0.93314962584	2	5	1322	1306	0.50304414003	0.49695585997	0
2	179.48310635	66.308867866	185.93502443	41.05060408	51.946844161	37.133099447	-0.27318700244	0.95155045793	-0.14597021223	0.41573287497	0.1535898104	0.43067731463	31	0	43	255	248	255	176.77657267	82.953362256	183.70173536	204.4842233	113.49150485	209.80339806	-28.022395326	-30.979552093	-27.100292113	-139.44461543	-526.34369806	-112.89809436	71.53200315	96.118087922	59.354992669	37.047158245	64.31666559	33.121147103	216.125	106.4375	220.125	18.841029032	20.919395157	19.940144809	0.087176536876	0.19654158692	0.090585552795	-33.024997057	-69.236029296	-32.343273679	33.024997057	69.236029296	32.343273679	1	1	1	-30.585063713	-51.398420107	-23.629120565	0.85440410271	0.56333697775	0.88724635807	0.82434433201	9619	1130	235513560.3	2.1219628911	9619	0.091150442478	9619	110988538.63	0.4068717522	2.6777251185	2.7174660447	1.8281530985	0.29743216551	0.40429400403	1.9400131556	0.61912989435	1.5357191516	2.88040456	9548	9548	7.0296697212	0.12041010506	103	142	0	998.21310042	9.4467119097	33.687330502	253.13157895	205.60631404	1.3325130144	0.34204714066	0.77055559371	0.2158480341	104.37374112	35.690861224	0.060464573218	675.18998817	18.445393232	9.3101097853	0.00015536113794	179.60223964	40.831209642	0.89303210072	5	29	1779	5905	0.18494646013	0.61388917767	0.2011643622
2	209.37547746	130.88617265	216.50190985	39.985142894	60.839822383	35.787535603	-0.93296824832	-0.056488950984	-1.0069431627	0.37605815559	0.23508394238	0.38885790203	57	0	66	255	251	255	211.54744526	115.90145985	219.65145985	164.71311475	57.62568306	174.93989071	40.1	43.874418605	39.155813953	110.93626575	409.70519754	130.85410774	70.890539829	128.41973902	70.50956377	44.558811204	61.652687715	41.219749754	197.8125	135.5625	199.25	58.867668068	55.812150055	56.508295851	0.29759326669	0.41170788422	0.283604998	22.49434105	72.049113151	33.951961615	22.49434105	72.049113151	33.951961615	0	0	0	-0.6926926013	13.178884678	6.9377648588	0.99670253422	1.1119632005	1.0331056864	0.81946043133	5236	616	2.31e+08	5.5	5236	0.30194805195	5236	4.2e+07	0.90835955125	1.5323383085	1.8529411765	1.4841885941	0.53819709702	0.54821521718	1.6881712873	0.76516246034	1.1399560701	2.1282414724	5161	5161	10.317440259	0.19427232363	188.00265956	56	0	577.77665453	25.039177987	22.880344751	523.6	959.82802626	1.4391353548	0.20356542112	0.6758050134	0.21670522724	90.679430861	16.426808061	0.090567056243	735.28009981	18.633401917	8.6649308796	0.0014461537473	206.99973542	40.347507783	0.87986701661	2	7	452	1428	0.086325439267	0.27272727273	0.64094728801
2	195.27039905	95.629094699	198.83561644	48.19507115	64.591983567	44.128248784	-0.90877418985	0.47679165042	-0.6547774699	0.39872656664	0.19526697741	0.40600645595	25	0	35	255	253	255	194.35391924	104.90617577	198.40498812	186.91895113	96.660309893	190.78903456	7.1439842209	8.0591715976	7.117357002	-22.800197716	77.853451598	2.7402095607	59.974122154	108.83303095	59.754699202	36.980265834	63.891935905	36.554238209	217	107.125	222.25	36.525675901	41.057695685	35.013390296	0.1683210871	0.3832690379	0.15754056376	-10.990411362	-9.5572426713	-6.9491889807	19.519942583	53.087537507	20.812051317	0.58579881657	0.32445759369	0.58579881657	-14.797771018	-22.078193274	-10.728528558	0.92955729079	0.81243138251	0.94880551462	0.82757591715	6716	1014	334522506	7.2185921104	6716	0	6716	46341793.646	0.97730932734	2.0119047619	2.3082747086	0.94810311176	0.46217986897	0.046465204359	1.7666114148	0.72669213637	1.7201462104	3.0933041194	6647.5	6647.5	8.220912033	0.10214803788	38	110	0	904.30032363	7.2730661783	38.163338677	305.27272727	279.55356973	1.2623936503	0.28841846253	0.8282411155	0.13624924007	90.325398384	21.021374261	0.082391769503	707.4104467	18.397126523	9.0318560515	0.00074611265794	193.6945279	47.751539307	0.91917375739	0	17	0	3093	0	0.46054198928	0.53945801072
2	189.21386839	51.213868389	179.14083641	34.475376503	39.415415198	32.118551046	-0.7726301934	0.96910265168	-0.064607942318	0.45097245237	0.12206316598	0.42696438165	15	0	41	255	204	255	178.63356974	63.330969267	177.77186761	214.01522843	108.5571066	214.35786802	-34.551362683	-39.348008386	-34.264150943	-93.51198249	-1272.2811335	-158.69484179	76.957674171	118.64140924	77.379774413	42.356597833	70.197398139	40.87578704	192.1875	109.9375	203.125	54.432548569	68.455705341	50.257928479	0.28322626898	0.62267838855	0.2474236479	-19.580451188	-74.804422229	-33.055898878	20.036837147	74.804422229	33.491250141	0.95283018868	1	0.95283018868	-20.854301676	-66.493419584	-30.423308588	0.90072602779	0.43509513532	0.85482579289	0.84549883089	6504	1018	258898377.93	3.5967358969	6504	0.062868369352	6504	71981481.362	0.84881898257	2.5969387755	2.8652965506	1.425870321	0.4655596556	0.37679036353	2.1584164695	0.73954642882	1.781626106	3.155713156	6487.5	6487.5	7.7773007052	0.096794934332	64	118	0	917.72148322	8.2288859894	18.560395893	309.71428571	418.83513552	1.3557768905	0.30655306468	0.78625911002	0.16564607223	88.458985404	23.707639248	0.07133461959	589.2027277	16.76774051	8.9460416783	0.00022648172149	189.79934608	34.208376669	0.86501434393	2	18	564	3825	0.086715867159	0.588099631	0.32518450185
2	209.28579643	125.44278321	211.4964539	44.543898349	66.355093997	40.79996548	-1.4826335921	0.22734108688	-1.1337920766	0.3831494047	0.22965403543	0.38719655987	0	0	18	255	255	255	206.76865672	103.7238806	205.61641791	172.79563492	60.013888889	170.63888889	33.525267994	38.208269525	33.995405819	70.918929243	309.04249129	106.47631224	68.734334343	155.83233061	74.64759211	46.651526565	76.826154655	43.882373218	239.1875	168.8125	240.4375	21.29031103	37.965804927	21.023703141	0.089010968508	0.2248992517	0.087439368404	22.879715107	68.565895054	35.03399447	22.879715107	68.565895054	35.03399447	0	0	0	-0.78237363028	7.7354952359	1.9323089046	0.99627562029	1.0657180653	1.0092206083	0.82905178546	5217	822	1.85e+08	2.4025974026	5217	0.20559610706	5217	7.7e+07	0.51831835141	2.5849056604	2.7304964539	1.7235919811	0.34905117884	0.18726420875	1.9882149805	0.68609059859	1.8009507718	2.8451253673	5181	5181	8.7288692144	0.12403335467	169	83	0	724.49614479	18.441062316	37.203999583	326.0625	629.89845102	1.4875093125	0.27120319582	0.70934703926	0.19319740891	79.301294253	28.405192145	0.097819284498	861.68712367	19.635999974	8.5819495272	0.0021514692808	206.65148302	44.944171754	0.88696610346	3	10	664	1226	0.12727621238	0.23500095841	0.63772282921
2	184.37617723	60.970997432	174.52611301	39.757264264	53.478778858	38.395823447	-0.6621093794	1.1506102941	-0.050336107857	0.43912337993	0.14521285164	0.41566376842	15	0	37	255	249	255	181.59230769	86.295726496	179.01538462	218.23846154	138.85480769	217.13269231	-35.976865672	-42.407462687	-35.968656716	-72.956405275	-870.12112988	-150.05674687	96.429701487	127.04036071	85.791669917	55.624730465	78.531896364	47.41551093	190.375	82	181.5	52.637765673	72.209763883	52.359335366	0.27649515783	0.88060687662	0.28848118659	-36.255207042	-94.277391351	-47.416765991	36.776618475	94.932720914	47.416765991	0.91492537313	0.96641791045	1	-25.691992839	-56.736290541	-35.038031982	0.87769687892	0.51798829522	0.83280521588	0.84663648132	9344	1478	329819933.6	3.9419503503	9344	0.093369418133	9344	83669225.71	0.93858201337	3.0663900415	2.9533153326	1.0283936893	0.091609589041	0.1064617201	2.0398850622	0.57549875152	1.9334233421	3.822504698	9357.5	9357.5	7.7485845141	0.071935663588	138	165	0	1278.5164448	11.133696183	28.696697773	252.54054054	145.96160076	1.4449448124	0.33588874473	0.71309439267	0.19919676804	74.2494178	30.748561524	0.069417819718	745.83277084	18.390796071	9.1717021379	0.00021790072474	184.78832199	39.567704777	0.87281531913	4	28	1271	5773	0.13602311644	0.61782962329	0.24614726027
2	223.14841205	166.00468241	225.7595684	40.058438601	59.214502162	35.547535071	-2.1193281107	-0.46752728089	-2.0096366922	0.36289448165	0.26996465097	0.36714086737	15	0	34	255	255	255	219.7963844	149.65461465	221.38725024	198.26722533	124.79702048	198.52700186	20.290184922	22.554765292	21.248221906	69.137193752	291.39994376	97.349327312	61.583538986	163.16858135	71.026526939	41.365084558	83.474081976	41.851948933	212.125	166.375	229.8125	26.906957743	29.036345758	23.444665571	0.12684482142	0.17452349066	0.10201649419	9.8473234916	42.693408841	18.27137419	24.172405838	82.438766598	32.656211642	0.29018492176	0.29018492176	0.29018492176	13.080241987	48.297394438	16.195423408	1.0622666536	1.4103177914	1.0772814615	0.82605036863	4912	1406	186713903.22	1.4976281015	4912	0	4912	124673076.74	0.60475416552	4.8819444444	4.7390465768	1.1369946002	0	0.017087631545	2.5922389762	0.22506196702	2.5751513446	5.0152911539	4923.5	4923.5	6.486662527	0.043906236266	23.537204592	183	0	1187.0592424	4.0909624964	18.900137148	982.4	824.62878921	1.497213448	0.32928257885	0.62405301081	0.17275718177	18.71756343	31.743530791	0.11732520648	911.27373232	18.996305276	8.0369289341	0.0039530974743	219.79310048	42.469481216	0.86451235402	0	2	0	222	0	0.045195439739	0.95480456026
2	198.93291484	123.74890334	207.18416276	37.985377907	57.872202556	32.841757626	-0.91572094687	-0.21055375431	-0.6948992403	0.37544005842	0.23354755314	0.39101238844	46	0	75	255	255	255	209.07725948	149.70408163	216.03790087	216.91037736	163.05188679	222.75314465	-4.2524038462	-6.4387019231	-3.6334134615	-47.179240333	-190.98676502	-50.03670615	82.715313151	168.42941301	71.007925041	45.610329649	91.336476404	38.441136719	212.8125	105.875	207.1875	13.671223199	15.095011593	13.906917119	0.064240696382	0.14257389935	0.067122375234	-22.130821078	-52.130807698	-20.784975978	30.436977471	76.039219276	27.196666998	0.5625	0.5625	0.5625	-11.135255226	6.0416153701	-2.379982237	0.94699218248	1.0513274537	0.98864318017	0.81685099725	13222	884	253317471.75	2.0866516099	13222	0.058823529412	13222	121399025.38	0.6857654138	1.7894736842	2.3258579777	1.8906459903	0.65073362578	0.57156944765	1.7581927677	0.78399268369	1.1866233201	1.9219571342	13231	13231	6.8328795674	0.29972929807	52	109	0	744.78387285	6.3120853315	27.110189249	440.73333333	1216.3815173	1.4545911784	0.31123878088	0.70981271693	0.19865950269	111.99383521	36.008667004	0.073982512023	464.6458764	15.337449196	9.0261869748	0.00022888124731	198.58849778	37.977275609	0.91592519053	7	20	1310	4346	0.099077295417	0.32869459991	0.57222810467
2	193.3695785	108.30991651	205.35043779	30.643004608	34.274201571	25.81051789	-0.7154324595	-0.27001943376	-0.34550349604	0.38137704697	0.21361641494	0.40500653809	45	0	98	255	205	255	190.2556391	106.81954887	203.88721805	181.29271917	98.604754829	195.61218425	8.2292134831	7.5382022472	7.804494382	-8.1148841266	-142.2763086	-13.372293155	83.25037503	149.73280188	68.381850926	48.387642305	84.84716911	39.396155879	160.5	92.25	185.75	27.351873793	27.451092874	25.791229129	0.17041665915	0.29757282249	0.1388491474	16.874923595	19.098737651	11.325615847	30.011615355	45.794815392	20.196392746	0.46853932584	0.46853932584	0.46853932584	-16.698591568	-9.3973714589	-4.2137072033	0.92050870171	0.92016321486	0.97989299551	0.81275626041	4911	890	182262177.7	2.6012414413	4911	0	4911	70067381.985	0.86897322144	2.8164556962	2.6004140962	1.3950064469	0.28853593973	0.34071586015	1.8345757693	0.65744982214	1.4938599091	3.1750096401	4946.5	4946.5	5.7113504336	0.11450858073	17	129	0	736.76420594	2.8832509767	26.693110589	288.88235294	243.99225695	1.5780946977	0.30846951341	0.59555849883	0.21903052793	116.553503	45.921590525	0.058254677503	526.26775481	16.675222503	8.8761000413	0.00019591151892	192.65112626	31.325633332	0.85548259984	4	11	1263	2012	0.2571777642	0.40969252698	0.33312970882
2	215.65187341	118.27864678	223.44379774	27.516705749	43.064244125	24.605631313	-0.49558408462	0.66896045927	-0.62261536693	0.38690672762	0.21220684731	0.40088642507	102	0	113	255	250	255	201.97191011	95.814606742	214.08614232	165.91977612	56.210820896	179.11007463	32.828985507	35.184057971	32.079710145	177.68416062	550.32351784	167.20452016	65.126841394	88.575444742	57.129962919	41.472917503	37.249273803	31.128078437	196	54.8125	204.375	10.547511555	14.440475884	10.469449603	0.053813834464	0.26345223961	0.051226664727	46.238932684	58.325997887	38.578455276	46.238932684	58.325997887	38.578455276	0	0	0	5.5837033435	0.57135880783	13.879652749	1.026580435	1.0048540648	1.0662310471	0.82098462234	2749	690	123907695.14	1.6155777121	2749	0	2749	76695595.767	0.58018277308	3.1651376147	3.4569568929	1.403371533	0.095671153147	0.014761008182	2.2369193941	0.51888779378	2.2221583859	3.2900441771	2763.5	2763.5	6.013227389	0.099997494608	16.124515497	98	0	589.29628412	3.0971011456	0.53394768873	1374.5	588.5	1.5674777703	0.12673716366	0.74889815554	0.01068135758	121.94902954	20.402127642	0.0703837306	604.36738009	17.647014952	8.4752480862	0.00064505157162	213.19221255	29.488893204	0.80777507243	0	0	0	0	0	0	1
2	200.24889306	72.316455696	199.58061155	26.694005353	34.956546249	25.072505687	-0.92698385138	-0.1117800559	-0.43015139361	0.42412497382	0.15316546529	0.42270956088	49	0	66	255	179	255	191.93619247	71.933054393	195.60041841	201.88041237	85.156701031	206.31649485	-8.9593949045	-11.150477707	-9.2842356688	2.9404122078	-609.57471755	-44.99570973	65.69507629	110.7628416	60.36379533	40.929055471	66.799069817	35.182979803	202.375	81.75	209.875	21.879999429	20.870134163	20.432434388	0.10811611824	0.25529216102	0.097355256164	-2.7802244322	-35.393628075	-8.3934464906	13.358517855	38.773531306	13.55551599	0.30493630573	0.88136942675	0.52308917197	-9.8192770088	-45.390832277	-9.9835334422	0.95325671183	0.61437534533	0.95236048875	0.83420395108	19197	1256	319454292.53	2.0728405024	19197	0	19197	154114265.99	0.70180382299	2.1144781145	2.5645915408	1.7301349697	0.49408761786	0.49560664749	2.0278532789	0.73271582773	1.5322466314	2.2662768664	19217.5	19217.5	6.802178792	0.21446116581	23.021728866	156	0	1061.1398915	4.5108734111	18.653893944	468.2195122	1535.201703	1.4230497786	0.3237366918	0.71829896191	0.21861857866	150.76376668	43.576942601	0.072875638688	285.71135999	12.730154456	8.6850563048	0.00025335203812	200.28732784	26.698042043	0.89419297685	6	30	1958	5896	0.1019951034	0.3071313226	0.590873574
