epiOrStroma	Mean.Layer.1	Mean.Layer.2	Mean.Layer.3	Mean.of.inner.border.Layer.1	Mean.of.inner.border.Layer.2	Mean.of.inner.border.Layer.3	Border.Contrast.Layer.1	Border.Contrast.Layer.2	Border.Contrast.Layer.3	Contrast.to.neighbor.pixels.Layer.1..3.	Contrast.to.neighbor.pixels.Layer.2..3.	Contrast.to.neighbor.pixels.Layer.3..3.	Circular.Mean.Layer.1..R1..User..3..R2..Same...R1...border.	Circular.Mean.Layer.2..R1..User..3..R2..Same...R1...border.	Circular.Mean.Layer.3..R1..User..3..R2..Same...R1...border.	Mean.Diff..to.neighbors.Layer.1..0.	Mean.Diff..to.neighbors.Layer.2..0.	Mean.Diff..to.neighbors.Layer.3..0.	Mean.Diff..to.neighbors..abs..Layer.1..0.	Mean.Diff..to.neighbors..abs..Layer.2..0.	Mean.Diff..to.neighbors..abs..Layer.3..0.	Mean.diff..to.scene.Layer.1	Mean.diff..to.scene.Layer.2	Mean.diff..to.scene.Layer.3	Area..Pxl.	Border.length..Pxl.	Length..mu_m.	Number.of.pixels	Volume..Pxl.	Width..mu_m.	Area..excluding.inner.polygons...Pxl.	Number.of.edges..polygon.	Perimeter..polygon...Pxl.	Area.of.sub.objects..mean..1...Pxl.	GLCM.Homogeneity..quick.8.11..Layer.1..all.dir..	GLCM.Contrast..quick.8.11..Layer.1..all.dir..	GLCM.Dissimilarity..quick.8.11..Layer.1..all.dir..	GLCM.Ang..2nd.moment..quick.8.11..Layer.1..all.dir..	GLCM.Mean..quick.8.11..Layer.1..all.dir..	Number.of.sub.objects.Nucleus..1.	Number.of.sub.objects.Dark..1.	Area.of.sub.objects.Nucleus..1...Pxl.	Area.of.sub.objects.Dark..1...Pxl.	Rel..area.of.sub.objects.Nucleus..1.	Rel..area.of.sub.objects.Dark..1.	Rel..area.of.sub.objects.unclassified..1.
1	125.85849802	30.964031621	164.49881423	156.8742515	53.580838323	174.31137725	-33.654347826	-34.952173913	-30.645652174	-689.40369964	-2025.4683613	-259.23052531	114.875	40.6875	163.8125	-84.241539617	-52.621240436	-35.689923934	84.241539617	52.621240436	35.689923934	-84.209672041	-86.743256352	-45.065330767	2530	460	128983593.61	2530	2530	34604706.964	2521.5	55	373.80928837	421.66666667	0.049296201836	752.28430475	20.379478818	0.00013368090696	127.13538692	1	5	136	2394	0.053754940711	0.94624505929	0
1	96.203483769	25.650567432	142.11691739	131.42363636	54.554545455	158.85818182	-49.203856749	-49.486225895	-44.425619835	-1196.2766874	-3159.8132239	-451.14433608	75.125	7.1875	136.8125	-113.88051404	-102.00367028	-71.448007886	113.88051404	102.00367028	71.448007886	-113.8646863	-92.056720541	-67.447227604	3789	726	160074609.55	3789	3789	55846498.89	3789	97	611.65912794	189.45	0.050456751487	1143.8760559	23.577752241	0.0001216693379	98.430668114	8	12	1947	1842	0.51385589865	0.48614410135	0
1	119.00438957	34.141563786	162.75720165	132.80327869	38.808743169	160.80874317	-38.621568627	-37.503921569	-34.756862745	-731.6174208	-2026.48477	-269.47204618	154.625	85.3125	179.0625	-101.5494446	-97.962384441	-56.733793421	101.5494446	97.962384441	56.733793421	-91.06378049	-83.565724187	-46.80694335	3645	510	124220742.57	3645	3645	53957715.718	3653.5	72	417.84102001	280.38461538	0.058139582255	675.64703735	18.620012645	0.00017434099135	119.336739	3	9	1139	2237	0.31248285322	0.61371742112	0.073799725652
1	127.33523592	32.264459665	170.29185693	154.73913043	48.549407115	179.41897233	-27.746875	-27.896875	-25.275	-579.13043795	-1974.9575909	-231.40876517	98.8125	35	181	-80.142119349	-93.669800834	-43.744881267	80.142119349	93.669800834	43.744881267	-82.732934144	-85.442828308	-39.272288071	2628	320	84330623.668	2628	2628	49899717.224	2621	37	273.32856211	375.42857143	0.052706157447	550.10944486	17.609732602	0.00015032361808	127.95287475	2	5	1322	1306	0.50304414003	0.49695585997	0
1	146.46355123	88.186742563	188.23283144	137.83759591	84.460358056	179.02685422	-33.422857143	-34.685714286	-29.035714286	-107.03969814	-257.07390272	-48.140961614	146.1875	76.875	190	-35.976406727	-49.568583942	-23.098402346	35.976406727	49.568583942	23.098402346	-36.864908679	-55.785097961	-20.155285438	10892	948	2.15e+08	10892	10892	1.24e+08	10877.5	83	841.90553426	311.2	0.050842317696	699.71877364	19.248814035	9.8662515754e-05	147.01065961	11	22	3626	6366	0.33290488432	0.58446566287	0.082629452809
1	156.11260115	99.334687418	193.38098734	167.51504035	115.13059428	200.1782832	-24.612968592	-27.164133739	-20.046605876	-219.1945039	-560.64416756	-102.24399688	181.6875	116.1875	212.5625	-46.074508359	-70.553065291	-28.679601452	47.84450301	70.553065291	30.818912812	-27.215858761	-44.637153106	-15.007129533	61296	1608	3.94e+08	61296	61296	2.68e+08	61266	120	1440.8706459	348.27272727	0.049177698534	850.3055207	21.489428733	7.6907205382e-05	155.88383108	58	102	21864	26142	0.3566953798	0.42648786218	0.21681675803
1	133.55525447	72.37251249	179.04352612	149.0212766	92.738878143	186.06640877	-29.003152916	-31.104046243	-25.955333684	-481.96158422	-1290.4402261	-224.60961106	125.5	68.375	169.4375	-62.534623463	-81.840955829	-40.050242876	62.534623463	81.840955829	40.050242876	-49.773205442	-71.599328034	-29.344590749	11809	1992	440509377.53	11809	11809	111785704.14	11865	246	1693.2800138	369.03125	0.050370684022	731.97274324	19.797616569	9.4537495937e-05	134.83913867	8	23	2865	8437	0.24261156745	0.71445507664	0.042933355915
1	144.06815251	80.006723153	181.10876773	165.81968179	116.03064231	192.41720684	-23.398351648	-25.434065934	-20.967490842	-337.06049287	-946.93179364	-192.6987492	207.8125	181.0625	215.125	-53.169302487	-80.371567462	-37.29729372	54.64359386	81.556581143	38.680126062	-39.260307395	-63.965117371	-27.279349145	10858	2184	421971473.7	10858	10858	226052501.96	10922.5	266	1895.8281399	278.41025641	0.053625464157	748.9276534	19.487237121	0.00011082287819	145.10811472	12	26	4488	6161	0.41333578928	0.56741573034	0.019248480383
1	164.10547428	97.631193959	187.26403964	174.02692308	132.83846154	197.80576923	-26.125	-28.762195122	-24.414634146	-326.46903578	-997.57880188	-236.9785536	216.4375	133.625	211.75	-58.390655076	-102.31835173	-49.26423068	58.390655076	102.31835173	49.26423068	-19.222985629	-46.340646565	-21.124077232	8476	656	158732041.08	8476	8476	86354928.639	8460.5	83	571.73651561	302.71428571	0.065251154974	775.85152868	19.679167263	0.00022939263203	163.56107148	3	23	1151	4909	0.13579518641	0.57916470033	0.28504011326
1	219.3748184	187.88668281	235.50556901	203.26283988	167.38217523	227.64048338	40.864608076	42.827790974	35.318289786	351.93763305	522.07457428	219.13903061	159.875	123.6875	189.5	64.948489534	90.206412785	42.627809089	64.948489534	90.206412785	42.627809089	36.046358493	43.914842285	27.117452134	2065	860	1.35e+08	2065	2065	7.8e+07	2072	105	737.32211395	1032.5	0.070122947394	1093.1506937	22.283628033	0.00085145286873	213.68922925	0	0	0	0	0	0	1
